fighter_name,strikes_per_min,striking_accuracy,strikes_absorbed_per_min,striking_defense,takedown_avg,takedown_accuracy,takedown_defense,submission_avg,wins,losses,win_percentage,high_success
Dustin Poirier,5.3,0.5,4.33,0.52,1.24,0.36,0.64,1.3,23,9,71.875,1
Islam Makhachev,2.65,0.59,1.54,0.61,3.19,0.53,0.9,1.1,15,1,93.75,1
Charles Oliveira,3.39,0.53,3.2,0.51,2.17,0.4,0.55,2.8,22,10,68.75,0
Justin Gaethje,6.78,0.59,7.46,0.52,0.11,0.25,0.75,0.0,8,5,61.53846153846154,0
Michael Chandler,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9,4,3,57.14285714285714,0
Tony Ferguson,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9,15,9,62.5,0
Conor McGregor,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1,10,4,71.42857142857143,1
Khabib Nurmagomedov,4.1,0.48,1.75,0.65,5.32,0.48,0.84,0.8,13,0,100.0,1
Benoit Saint Denis,5.17,0.53,4.98,0.41,3.97,0.37,0.68,1.2,5,3,62.5,0
Renato Moicano,4.42,0.49,3.6,0.6,1.87,0.44,0.72,0.6,12,5,70.58823529411765,1
Jalin Turner,5.6,0.48,4.57,0.41,0.79,0.55,0.74,1.1,8,5,61.53846153846154,0
Dan Hooker,5.03,0.48,4.72,0.51,0.73,0.34,0.78,0.3,14,8,63.63636363636363,0
Mateusz Gamrot,3.23,0.5,3.22,0.58,5.25,0.35,0.9,0.1,7,3,70.0,1
Arman Tsarukyan,3.79,0.48,1.84,0.53,3.25,0.37,0.75,0.0,9,2,81.81818181818183,1
Paddy Pimblett,4.94,0.53,3.75,0.4,0.91,0.25,0.52,2.1,6,0,100.0,1
