fighter_name,strikes_per_min,striking_accuracy,strikes_absorbed_per_min,striking_defense,takedown_avg,takedown_accuracy,takedown_defense,submission_avg,wins,losses
Dustin Poirier,5.30,50%,4.33,52%,1.24,36%,64%,1.3,23,9
Islam Makhachev,2.65,59%,1.54,61%,3.19,53%,90%,1.1,15,1
Charles Oliveira,3.39,53%,3.20,51%,2.17,40%,55%,2.8,22,10
Justin Gaethje,6.78,59%,7.46,52%,0.11,25%,75%,0.0,8,5
Michael Chandler,4.89,46%,4.58,46%,2.17,38%,71%,0.9,4,3
Tony Ferguson,4.91,45%,4.37,55%,0.39,35%,66%,0.9,15,9
Conor McGregor,5.32,49%,4.66,54%,0.67,55%,66%,0.1,10,4
Khabib Nurmagomedov,4.10,48%,1.75,65%,5.32,48%,84%,0.8,13,0
Benoit Saint Denis,5.17,53%,4.98,41%,3.97,37%,68%,1.2,5,3
Renato Moicano,4.42,49%,3.60,60%,1.87,44%,72%,0.6,12,5
Jalin Turner,5.60,48%,4.57,41%,0.79,55%,74%,1.1,8,5
Dan Hooker,5.03,48%,4.72,51%,0.73,34%,78%,0.3,14,8
Mateusz Gamrot,3.23,50%,3.22,58%,5.25,35%,90%,0.1,7,3
Arman Tsarukyan,3.79,48%,1.84,53%,3.25,37%,75%,0.0,9,2
Paddy Pimblett,4.94,53%,3.75,40%,0.91,25%,52%,2.1,6,0
